id,fecha,franja_hora,gravedad,sexo,edad,vehiculo_1,vehiculo_2,direccion_normalizada,tipo_calle,comuna,latitud,longitud
2016-0001,2016-01-01,4,FATAL,M,19,MOTO,AUTOMOVIL,"PIEDRA BUENA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",AVENIDA,8,-34.68757022,-58.47533969
2016-0002,2016-01-02,1,FATAL,M,70,AUTOMOVIL,TRANSPORTE PUBLICO,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",GRAL PAZ,9,-34.66977709,-58.50877521
2016-0003,2016-01-03,7,FATAL,M,30,MOTO,AUTOMOVIL,ENTRE RIOS AV. 2034,AVENIDA,1,-34.63189362,-58.39040293
2016-0004,2016-01-10,0,LEVE - SIN LESIONES,M,18,MOTO,SD,"LARRAZABAL AV. y VILLEGAS, CONRADO, GRAL.",AVENIDA,8,-34.68092974,-58.46503904
2016-0005,2016-01-21,5,FATAL,M,29,MOTO,TRANSPORTE PUBLICO,"SAN JUAN AV. y SAENZ PEÃ‘A, LUIS, PRES.",AVENIDA,1,-34.62246630,-58.38718297
2016-0008,2016-01-24,18,FATAL,M,30,MOTO,OTRO,27 DE FEBRERO AV. y ESCALADA AV.,AVENIDA,8,-34.68475866,-58.44451316
2016-0009,2016-01-24,19,FATAL,M,29,MOTO,AUTOMOVIL,"NOGOYA y GONZALEZ, JOAQUIN V.",CALLE,11,-34.60825440,-58.50095869
2016-0010,2016-01-29,15,FATAL,M,18,MOTO,AUTOMOVIL,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",GRAL PAZ,9,-34.66977709,-58.50877521
2016-0012,2016-02-08,1,FATAL,M,22,MOTO,TRANSPORTE PUBLICO,"BELGRANO AV. e IRIGOYEN, BERNARDO DE",AVENIDA,1,-34.61303893,-58.38048577
2016-0013,2016-02-10,11,FATAL,M,16,PEATON,AUTOMOVIL,ENTRE RIOS AV. 1366,AVENIDA,1,-34.62477387,-58.39114932
2016-0015,2016-02-14,5,FATAL,F,16,PEATON,AUTOMOVIL,"SCALABRINI ORTIZ, RAUL AV. y VERA",AVENIDA,15,-34.59912758,-58.43760020
2016-0016,2016-02-14,22,FATAL,F,19,MOTO,AUTOMOVIL,"REGIMIENTO DE PATRICIOS AV. y QUINQUELA MARTIN, BENITO",AVENIDA,4,-34.64291993,-58.36882665
2016-0017,2016-02-15,16,FATAL,M,59,PEATON,MOTO,"ACOSTA, MARIANO y JANER, ANA MARIA",AVENIDA,8,-34.65970435,-58.44989671
2016-0019,2016-02-17,9,FATAL,F,65,PEATON,TRANSPORTE PUBLICO,"DE LA TORRE, LISANDRO y GARCIA GRANDE DE ZEQUEIRA, SEVERO",CALLE,9,-34.65468721,-58.50990884
2016-0020,2016-02-17,16,FATAL,M,59,PEATON,AUTOMOVIL,SUIPACHA 156,CALLE,1,-34.60653282,-58.37952223
2016-0021,2016-02-17,23,FATAL,M,34,AUTOMOVIL,AUTOMOVIL,DIRECTORIO AV. y CURAPALIGUE,AVENIDA,7,-34.63063795,-58.45157703
2016-0022,2016-02-21,6,LEVE - SIN LESIONES,M,41,MOTO,AUTOMOVIL,"9 DE JULIO AV. y ALSINA, ADOLFO",AVENIDA,1,-34.61079875,-58.38144696
2016-0025,2016-02-28,4,FATAL,M,34,AUTOMOVIL,AUTOMOVIL,"PAZ, GRAL. AV. y 27 DE FEBRERO AV.",GRAL PAZ,8,-34.70524971,-58.46244952
2016-0026,2016-02-28,7,FATAL,M,30,AUTOMOVIL,OTRO,HOLMBERG y VEDIA,CALLE,12,-34.54738649,-58.49216191
